Time_sin,B_TCS,G_TCS,R_TCS,CS,CLA2.0,Illuminance (Test),mEDI(Test),EML,CCT
0.279829014,5191,5416,4428,0.645702137,3359.528982,2283.338929,2176.041449,2402.219403,6414.232987
0.258819045,4748,4990,4130,0.640441279,3066.413456,2112.086995,2004.692613,2213.060552,6378.476583
0.237685892,6151,6722,5636,0.665929859,5272.325389,3861.265668,3324.030349,3669.530377,5556.248482
0.216439614,5929,6461,5431,0.658366935,4350.512734,3075.771104,2777.304267,3065.977534,5944.704181
0.195090322,4724,5065,4218,0.644072119,3263.115969,2316.94397,2135.127778,2357.05316,6117.642406
0.173648178,5172,5589,4676,0.650214464,3657.587555,2612.766017,2372.753506,2619.377729,5990.567677
0.152123386,5073,5418,4485,0.647953906,3502.132125,2457.912536,2273.826449,2510.168184,6142.869963
0.130526192,6159,6758,5704,0.664881255,5122.022403,3768.252446,3238.225093,3574.806514,5537.811318
0.087155743,6953,7544,6261,0.669981178,5946.41784,4236.203512,3687.796747,4071.106688,5634.831511
0.065403129,7652,8229,6831,0.670691637,6082.848726,4241.014597,3749.771464,4139.523064,5744.997929
0.043619387,7712,8292,6919,0.669739198,5901.34222,4125.212565,3650.198664,4029.600657,5747.291704
0.021814885,7873,8501,7090,0.671768092,6301.991234,4443.269144,3879.176219,4282.378161,5647.31726
1.22515E-16,6955,7532,6305,0.668453921,5672.966592,4063.102002,3537.082498,3904.727186,5627.144538
-0.043619387,7939,8588,7205,0.671577689,6262.079996,4411.03733,3856.885304,4257.770326,5658.875082
-0.065403129,8366,8993,7508,0.672562569,6474.206933,4476.583949,3962.407854,4374.2609,5749.957272
-0.087155743,7496,7888,6486,0.664213981,5030.744148,3340.517853,3138.559548,3464.781723,6267.713087
-0.108866875,6983,7360,6054,0.660244134,4548.14789,3047.32076,2867.712075,3165.782338,6282.370997
-0.130526192,6557,6951,5757,0.657735103,4287.750688,2915.055562,2724.402893,3007.577586,6219.063575
-0.152123386,7236,7810,6503,0.668783027,5729.739667,4075.178932,3566.447874,3937.144803,5657.68983
-0.173648178,6927,7509,6304,0.6671294,5455.42858,3904.019246,3413.90189,3768.743174,5653.299266
-0.195090322,6224,6629,5491,0.658990399,4414.244166,3037.252267,2802.084851,3093.333815,6109.393601
-0.216439614,5934,6299,5192,0.655616135,4089.687969,2813.121719,2613.842003,2885.524988,6167.32349
-0.237685892,5780,6188,5148,0.655456744,4075.514388,2862.211116,2614.198988,2885.919078,6013.845792
-0.258819045,5206,5580,4611,0.649963783,3639.691182,2561.081898,2358.600572,2603.753738,6092.127802
-0.279829014,6409,6903,5710,0.659899326,4510.527665,3131.113588,2863.660225,3161.309339,6032.680596
-0.3007058,5473,5891,4899,0.65111423,3723.257629,2616.271613,2407.938314,2658.219649,6076.344634
-0.321439465,5894,6481,5478,0.659718982,4491.095286,3298.235766,2876.254356,3175.212505,5638.485487
-0.342020143,5843,6360,5311,0.659629976,4481.565524,3203.914829,2860.517478,3157.839935,5839.947805
-0.362438038,6179,6768,5716,0.663689508,4961.240915,3633.358561,3145.384659,3472.316238,5581.674182
-0.382683432,5063,5414,4538,0.647652187,3482.348814,2454.943925,2265.122346,2500.559376,6097.82691
-0.40274669,4781,5130,4337,0.642159737,3156.58946,2247.079273,2072.934631,2288.395652,6087.553699
-0.422618262,4803,5196,4402,0.640991176,3094.72678,2230.01378,2040.956375,2253.093573,6014.521364
-0.44228869,4503,4919,4199,0.635646252,2839.038863,2082.644371,1890.941645,2087.486298,5949.470943
-0.461748613,4130,4535,3908,0.628979427,2571.530448,1926.908451,1730.384015,1910.240293,5858.82677
-0.480988769,4108,4490,3831,0.632121446,2691.39435,2003.646406,1802.506251,1989.858921,5878.888035
-0.5,5004,5391,4469,0.648626902,3547.054279,2523.553907,2309.143901,2549.156536,6028.386124
-0.518773258,7045,7656,6365,0.668667643,5709.706001,4029.884332,3556.022541,3925.635859,5719.306321
-0.537299608,8129,8781,7271,0.671538481,6253.924494,4270.253108,3843.246318,4242.713703,5871.442273
-0.555570233,8647,9377,7780,0.673320227,6647.520986,4584.592717,4066.222371,4488.865908,5749.600022
-0.573576436,8188,8875,7357,0.671592663,6265.200408,4341.924209,3858.496071,4259.548516,5763.837264
-0.591309648,7532,8046,6551,0.667840588,5570.114515,3745.573351,3458.89446,3818.412276,6095.176216
-0.608761429,7891,8517,7002,0.670517037,6048.740326,4135.977894,3733.287017,4121.325222,5892.537178
-0.625923472,8088,8768,7217,0.672286171,6413.22754,4409.536729,3938.741895,4348.1351,5805.243521
-0.64278761,8033,8722,7180,0.67224508,6404.260704,4410.572417,3935.683713,4344.75905,5798.146444
-0.659345815,8001,8716,7189,0.672199503,6394.344491,4420.13125,3934.119459,4343.032207,5778.470422
-0.675590208,7662,8363,6928,0.670491349,6043.754518,4211.624516,3744.14401,4133.310692,5765.967363
-0.691513056,7257,7918,6585,0.668498927,5680.663915,4000.000751,3545.768656,3914.316184,5738.966232
-0.707106781,6712,7345,6148,0.664717905,5099.37392,3651.577957,3224.460443,3559.611166,5704.320753
-0.722363962,6225,6784,5640,0.660169099,4539.908457,3223.548842,2901.188358,3202.73815,5864.794837
-0.737277337,6712,7401,6216,0.664783932,5108.504463,3679.373089,3235.513176,3571.812721,5674.558564
-0.751839807,6682,7383,6208,0.665216956,5169.202464,3736.316921,3272.47798,3612.61965,5641.814566
-0.766044443,6555,7262,6108,0.665143704,5158.833682,3751.661817,3271.120397,3611.12096,5607.394136
-0.779884483,6280,6961,5859,0.663494969,4935.943711,3605.518326,3145.79085,3472.764648,5611.452531
-0.79335334,6251,6946,5845,0.663750856,4969.271971,3645.255682,3168.415743,3497.741174,5584.958876
-0.806444604,6092,6777,5702,0.662791722,4846.59532,3570.102364,3100.248165,3422.488252,5576.186118
-0.819152044,5902,6583,5550,0.661153588,4650.416557,3455.628065,2991.693475,3302.650377,5553.921414
-0.831469612,5507,6153,5213,0.657651963,4279.624667,3216.280071,2779.599598,3068.511442,5536.705011
-0.843391446,5033,5640,4812,0.6530205,3870.269856,2953.171245,2542.380287,2806.635534,5504.376345
-0.854911871,4879,5504,4732,0.650826872,3702.03646,2871.721007,2448.007661,2702.453809,5432.556804
-0.866025404,4633,5246,4535,0.647888049,3497.795375,2746.34226,2328.846729,2570.907278,5391.528184
-0.876726756,4347,4926,4273,0.643468331,3228.743867,2558.947364,2167.537693,2392.831766,5381.12861
-0.887010833,4098,4668,4070,0.639877405,3037.891207,2448.038651,2055.737458,2269.411003,5321.781638
